file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
kaydasheva_s000455,0.0,4.7098125,corpus,-38.12890210323779,-45.25148176535582,7.159251056344339,22.064290285287736
kaydasheva_s001938,0.0,18.1398125,corpus,-46.99068443357221,-48.06143298339844,7.159235945032422,19.157587131905487
kaydasheva_s000077,0.0,15.4398125,corpus,-46.29245769915803,-48.05543160211472,7.104706434155947,7.405292388035816
kaydasheva_s000580,0.0,14.67075,corpus,-44.68217450579414,-45.33968162536621,7.104706434155947,12.04502873737812
kaydasheva_s001650,0.0,14.9448125,corpus,-50.77908509036145,-53.48669003706712,7.104706434155947,4.0735387692981355
kaydasheva_s001987,0.0,6.7398125,corpus,-38.41578380007418,-44.74311086293813,7.104704031469782,22.02486404753398
kaydasheva_s001963,0.0,3.5078125,corpus,-34.91724815259972,-43.48867574104896,7.103355473158548,16.49064009626572
kaydasheva_s001748,0.0,4.0648125,corpus,-41.24229333435961,-51.429258558485245,7.103353232863193,15.77567774739212
kaydasheva_s002137,0.0,16.3298125,corpus,-44.253549831598285,-44.625142755434496,7.078193760218755,16.844663377242043
kaydasheva_s000571,0.0,9.1098125,corpus,-41.56599032656422,-45.05916056913488,7.013109619345621,5.448867622070514
kaydasheva_s002250,0.0,16.1418125,corpus,-44.98884758364312,-46.25067699047946,6.999912381774674,19.917070444088495
kaydasheva_s000379,0.0,10.5568125,corpus,-45.18796238754735,-46.351297554602986,6.953713964043221,8.251768378222502
kaydasheva_s000673,0.0,11.8428125,corpus,-48.04080117715372,-50.40355386336645,6.953704319327095,21.86614288450558
kaydasheva_s000081,0.0,14.89175,corpus,-46.790919870718604,-50.09857540959897,6.928714881493692,12.471935853423133
kaydasheva_s001838,0.0,11.3198125,corpus,-44.00440660887809,-46.18124283894454,6.877261723570602,10.455525199822095
kaydasheva_s000569,0.0,18.03875,corpus,-43.405700006929045,-45.16711340145189,6.867727430689178,19.52289817483043
kaydasheva_s000278,0.0,7.9658125,corpus,-45.418277525094105,-47.96162137798235,6.860103972086824,18.52130810490152
kaydasheva_s000560,0.0,7.2598125,corpus,-42.41096332644628,-45.87909114360809,6.859320107909868,20.516717111692156
kaydasheva_s001229,0.0,14.87175,corpus,-48.420325109280434,-50.737778546517355,6.835650899384433,11.349903859320932
kaydasheva_s001615,0.0,18.6838125,corpus,-43.05079797912206,-44.75166617048548,6.796299562246954,20.806192531174847
kaydasheva_s001483,0.0,11.1198125,corpus,-44.162162067221225,-46.46966991424561,6.792840807842416,19.912741023396524
kaydasheva_s001443,0.0,11.3298125,corpus,-47.771934300529566,-50.92080954056752,6.790385419514475,20.508361906736297
kaydasheva_s000072,0.0,12.8888125,corpus,-49.73680542086889,-55.30396445254062,6.7841859752205655,8.517296823338333
kaydasheva_s001968,0.0,12.7898125,corpus,-44.491213228107895,-47.06727899250231,6.78416560466664,19.2054188898619
kaydasheva_s002195,0.0,11.9798125,corpus,-43.85830224853923,-47.02461306254069,6.78416560466664,8.364428899334671
kaydasheva_s002251,0.0,11.2698125,corpus,-53.46790081521739,-60.60724843590005,6.7769990550497194,4.603285786588961
